Файл,Лист,Строка,Тип кампании,Доп. объявление группы,Тип объявления,Мобильное объявление,ID группы,Название группы,Номер группы,ID фразы,Фраза (с минус-словами),ID объявления,Заголовок 1,Заголовок 2,Текст,Комб.Заголовок 1,Заголовок 2__1,Заголовок 3,Заголовок 4,Заголовок 5,Заголовок 6,Заголовок 7,Текст 1,Текст 2,Текст 3,Длина заголовка 1,Длина заголовка 2,Длина заголовка 3,Длина заголовка 4,Длина заголовка 5,Длина заголовка 6,Длина заголовка 7,Длина текста 1,Длина текста 2,Длина текста 3,Изображение 1,Изображение 2,Изображение 3,Изображение 4,Изображение 5,Вертикальное видео 1,Вертикальное видео 2,Квадратное видео 1,Квадратное видео 2,Горизонтальное видео 1,Горизонтальное видео 2,Статус модерации ассетов,Ссылка,Отображаемая ссылка,Организация Яндекс.Справочника,Регион,Автоставка,Ставка,Ставка в сетях,Статус объявления,Статус фразы,Заголовки быстрых ссылок,Описания быстрых ссылок,Адреса быстрых ссылок,Параметр 1,Параметр 2,Метки,Изображение,Креатив,Статус модерации креатива,Уточнения,Минус-фразы на группу,Возрастные ограничения,Комб.Продвижение приложений: настройки на группу,Ссылка на приложение в магазине,Тип устройства,Тип связи,Версия ОС,Трекинговая ссылка,Иконка,Рейтинг,Количество оценок,Цена
710718813.xlsx,Тексты,16,Единая перфоманс-кампания,-,Комбинаторное,-,5760359467,Фармацевтика (Ключи),1,41762401,audience:Были на сайте типографии больше 50 секунд,17749737466,#Коробки для лекарств#,#Картонные пачки СПб#,"Печать картонных коробок для лекарственных средств. Целлюлозный картон, микрогофра.",Фармацевтическая упаковка GMP,Коробки для лекарств и БАД,Инструкции-вкладыши для препаратов,Картонные коробки под заказ,Упаковка для фармацевтики в СПб,Печать инструкций медицинских,Коробки для таблеток и БАД,"Упаковка по GMP. Коробки, пачки, инструкции. От 5000 шт. Доставка по РФ. Звоните!","Полный цикл: дизайн, печать, сборка. Коробки для лекарств и БАД, вкладыши. Сертификаты.",Типография в СПб. Печать инструкций и упаковки для фармацевтики. Любые тиражи.,,,,,,,,,,,https://direct.yandex.ru/images/direct/5257964/oL7geGe8U6jK-8nu73-xzw,https://direct.yandex.ru/images/direct/5424235/QYIcToXYp9a0jIKjmUg2Aw,https://direct.yandex.ru/images/direct/4473846/CI5dc_9bJ_hGO28f9fVjJA,https://direct.yandex.ru/images/direct/5356422/JQC8zIrTdN64ZsiRqnRNQQ,https://direct.yandex.ru/images/direct/5252717/Mf1X4bwI0LL7t3sZ7KfUJQ,,,,,,,,https://printyard.spb.ru/industries/pharma,,205929759852,"Россия, -Сибирь, -Дальний Восток",-,,"0,3",Идут показы,,Портфолио фарма||Коробки для лекарств||GMP-упаковка||Инструкции и вкладыши||О компании||Контакты||||,Примеры упаковки для фармацевтики||Картонные коробки для препаратов||Производство по стандарту GMP||Печать медицинских инструкций||Типография PrintYard в СПб||Свяжитесь с нами||||,https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/about||https://printyard.spb.ru/contacts||||,,,,https://direct.yandex.ru/images/direct/5098798/oBb1RozLrpyjF4RHKlWrOg,,,GMP-стандарт производства||Картон и микрогофра||Тиснение и конгрев||Тиражи от 5000 штук||Соответствие ГОСТ и GMP||Инструкция-вкладыш|| ГОСТ Р ИСО 15378-2017,-!как -!как сделать -!когда -!от 1 шт -!своими -!своими руками -!чего -!чем -!что -!что !такое -1 шт -3d -3д -ai -cdr -horeca -ozon -pdf -png -psd -wb -wildberries -youtube -авито -алкоголь -бесплатно -бесплатный макет -бу -вайлдберриз -вакансии -видео -википедия -вино -вода -выкройка -где -готовое решение -готовый -дерево -деревянная -диплом -еда -зарплата -зачем -значение -исходник -ищем -какое -карточка товара -кафе -комментарии -косметика -кофе -куплю готовое -курсовая -лучше !чем -лучший -макет -маленький тираж -малый тираж -маркетплейс -мастер класс -мдф -меню -мультик -мягкая упаковка -наклейка -напитки -обзор -образец -объемная -означает -озон -определение -отзывы -пакеты -парфюмерия -пластик -пленка пвх -подарок -полиэтилен -почему -презент -пример -продукты -промо -работа -развертка -резюме -рейтинг -ресторан -реферат -розница -самому -самостоятельно -сделать самому -сериал -скачать -скачать макет -смотреть -создание карточек -сок -сравнение -стикер -схема -тампопечать -термотрансфер -термоэтикетка -требуется -ультрафиолетовая печать -фанера -фильм -форум -фулфилмент -хуже -чай -чертеж -шаблон -шаблон макета -шелкография -шт -штук -штучно -юла -ютуб -яндекс маркет,16,,,,,,,,,,
710718813.xlsx,Тексты,17,Единая перфоманс-кампания,-,Комбинаторное,-,5760359467,Фармацевтика (Ключи),1,41115562,audience:Был на сайте Типографии,17749737466,#Коробки для лекарств#,#Картонные пачки СПб#,"Печать картонных коробок для лекарственных средств. Целлюлозный картон, микрогофра.",Фармацевтическая упаковка GMP,Коробки для лекарств и БАД,Инструкции-вкладыши для препаратов,Картонные коробки под заказ,Упаковка для фармацевтики в СПб,Печать инструкций медицинских,Коробки для таблеток и БАД,"Упаковка по GMP. Коробки, пачки, инструкции. От 5000 шт. Доставка по РФ. Звоните!","Полный цикл: дизайн, печать, сборка. Коробки для лекарств и БАД, вкладыши. Сертификаты.",Типография в СПб. Печать инструкций и упаковки для фармацевтики. Любые тиражи.,,,,,,,,,,,https://direct.yandex.ru/images/direct/5257964/oL7geGe8U6jK-8nu73-xzw,https://direct.yandex.ru/images/direct/5424235/QYIcToXYp9a0jIKjmUg2Aw,https://direct.yandex.ru/images/direct/4473846/CI5dc_9bJ_hGO28f9fVjJA,https://direct.yandex.ru/images/direct/5356422/JQC8zIrTdN64ZsiRqnRNQQ,https://direct.yandex.ru/images/direct/5252717/Mf1X4bwI0LL7t3sZ7KfUJQ,,,,,,,,https://printyard.spb.ru/industries/pharma,,205929759852,"Россия, -Сибирь, -Дальний Восток",-,,"0,3",Идут показы,,Портфолио фарма||Коробки для лекарств||GMP-упаковка||Инструкции и вкладыши||О компании||Контакты||||,Примеры упаковки для фармацевтики||Картонные коробки для препаратов||Производство по стандарту GMP||Печать медицинских инструкций||Типография PrintYard в СПб||Свяжитесь с нами||||,https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/about||https://printyard.spb.ru/contacts||||,,,,https://direct.yandex.ru/images/direct/5098798/oBb1RozLrpyjF4RHKlWrOg,,,GMP-стандарт производства||Картон и микрогофра||Тиснение и конгрев||Тиражи от 5000 штук||Соответствие ГОСТ и GMP||Инструкция-вкладыш|| ГОСТ Р ИСО 15378-2017,,16,,,,,,,,,,
710718813.xlsx,Тексты,18,Единая перфоманс-кампания,-,Комбинаторное,-,5760359467,Фармацевтика (Ключи),1,42126667,audience: Копия Были на сайте типографии больше 30 сек и смотрели партфолио Фармацевтика,17749737466,#Коробки для лекарств#,#Картонные пачки СПб#,"Печать картонных коробок для лекарственных средств. Целлюлозный картон, микрогофра.",Фармацевтическая упаковка GMP,Коробки для лекарств и БАД,Инструкции-вкладыши для препаратов,Картонные коробки под заказ,Упаковка для фармацевтики в СПб,Печать инструкций медицинских,Коробки для таблеток и БАД,"Упаковка по GMP. Коробки, пачки, инструкции. От 5000 шт. Доставка по РФ. Звоните!","Полный цикл: дизайн, печать, сборка. Коробки для лекарств и БАД, вкладыши. Сертификаты.",Типография в СПб. Печать инструкций и упаковки для фармацевтики. Любые тиражи.,,,,,,,,,,,https://direct.yandex.ru/images/direct/5257964/oL7geGe8U6jK-8nu73-xzw,https://direct.yandex.ru/images/direct/5424235/QYIcToXYp9a0jIKjmUg2Aw,https://direct.yandex.ru/images/direct/4473846/CI5dc_9bJ_hGO28f9fVjJA,https://direct.yandex.ru/images/direct/5356422/JQC8zIrTdN64ZsiRqnRNQQ,https://direct.yandex.ru/images/direct/5252717/Mf1X4bwI0LL7t3sZ7KfUJQ,,,,,,,,https://printyard.spb.ru/industries/pharma,,205929759852,"Россия, -Сибирь, -Дальний Восток",-,,"0,3",Идут показы,,Портфолио фарма||Коробки для лекарств||GMP-упаковка||Инструкции и вкладыши||О компании||Контакты||||,Примеры упаковки для фармацевтики||Картонные коробки для препаратов||Производство по стандарту GMP||Печать медицинских инструкций||Типография PrintYard в СПб||Свяжитесь с нами||||,https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/about||https://printyard.spb.ru/contacts||||,,,,https://direct.yandex.ru/images/direct/5098798/oBb1RozLrpyjF4RHKlWrOg,,,GMP-стандарт производства||Картон и микрогофра||Тиснение и конгрев||Тиражи от 5000 штук||Соответствие ГОСТ и GMP||Инструкция-вкладыш|| ГОСТ Р ИСО 15378-2017,,16,,,,,,,,,,
710718813.xlsx,Тексты,19,Единая перфоманс-кампания,-,Комбинаторное,-,5760359467,Фармацевтика (Ключи),1,57447361558,упаковка для фармацевтики спб,17749737466,#Коробки для лекарств#,#Картонные пачки СПб#,"Печать картонных коробок для лекарственных средств. Целлюлозный картон, микрогофра.",Фармацевтическая упаковка GMP,Коробки для лекарств и БАД,Инструкции-вкладыши для препаратов,Картонные коробки под заказ,Упаковка для фармацевтики в СПб,Печать инструкций медицинских,Коробки для таблеток и БАД,"Упаковка по GMP. Коробки, пачки, инструкции. От 5000 шт. Доставка по РФ. Звоните!","Полный цикл: дизайн, печать, сборка. Коробки для лекарств и БАД, вкладыши. Сертификаты.",Типография в СПб. Печать инструкций и упаковки для фармацевтики. Любые тиражи.,,,,,,,,,,,https://direct.yandex.ru/images/direct/5257964/oL7geGe8U6jK-8nu73-xzw,https://direct.yandex.ru/images/direct/5424235/QYIcToXYp9a0jIKjmUg2Aw,https://direct.yandex.ru/images/direct/4473846/CI5dc_9bJ_hGO28f9fVjJA,https://direct.yandex.ru/images/direct/5356422/JQC8zIrTdN64ZsiRqnRNQQ,https://direct.yandex.ru/images/direct/5252717/Mf1X4bwI0LL7t3sZ7KfUJQ,,,,,,,,https://printyard.spb.ru/industries/pharma,,205929759852,"Россия, -Сибирь, -Дальний Восток",-,,,Идут показы,Работает везде,Портфолио фарма||Коробки для лекарств||GMP-упаковка||Инструкции и вкладыши||О компании||Контакты||||,Примеры упаковки для фармацевтики||Картонные коробки для препаратов||Производство по стандарту GMP||Печать медицинских инструкций||Типография PrintYard в СПб||Свяжитесь с нами||||,https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/about||https://printyard.spb.ru/contacts||||,,,,https://direct.yandex.ru/images/direct/5098798/oBb1RozLrpyjF4RHKlWrOg,,,GMP-стандарт производства||Картон и микрогофра||Тиснение и конгрев||Тиражи от 5000 штук||Соответствие ГОСТ и GMP||Инструкция-вкладыш|| ГОСТ Р ИСО 15378-2017,,16,,,,,,,,,,
710718813.xlsx,Тексты,20,Единая перфоманс-кампания,-,Комбинаторное,-,5760359467,Фармацевтика (Ключи),1,57447361559,gmp упаковка спб,17749737466,#Коробки для лекарств#,#Картонные пачки СПб#,"Печать картонных коробок для лекарственных средств. Целлюлозный картон, микрогофра.",Фармацевтическая упаковка GMP,Коробки для лекарств и БАД,Инструкции-вкладыши для препаратов,Картонные коробки под заказ,Упаковка для фармацевтики в СПб,Печать инструкций медицинских,Коробки для таблеток и БАД,"Упаковка по GMP. Коробки, пачки, инструкции. От 5000 шт. Доставка по РФ. Звоните!","Полный цикл: дизайн, печать, сборка. Коробки для лекарств и БАД, вкладыши. Сертификаты.",Типография в СПб. Печать инструкций и упаковки для фармацевтики. Любые тиражи.,,,,,,,,,,,https://direct.yandex.ru/images/direct/5257964/oL7geGe8U6jK-8nu73-xzw,https://direct.yandex.ru/images/direct/5424235/QYIcToXYp9a0jIKjmUg2Aw,https://direct.yandex.ru/images/direct/4473846/CI5dc_9bJ_hGO28f9fVjJA,https://direct.yandex.ru/images/direct/5356422/JQC8zIrTdN64ZsiRqnRNQQ,https://direct.yandex.ru/images/direct/5252717/Mf1X4bwI0LL7t3sZ7KfUJQ,,,,,,,,https://printyard.spb.ru/industries/pharma,,205929759852,"Россия, -Сибирь, -Дальний Восток",-,,,Идут показы,Работает везде,Портфолио фарма||Коробки для лекарств||GMP-упаковка||Инструкции и вкладыши||О компании||Контакты||||,Примеры упаковки для фармацевтики||Картонные коробки для препаратов||Производство по стандарту GMP||Печать медицинских инструкций||Типография PrintYard в СПб||Свяжитесь с нами||||,https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/about||https://printyard.spb.ru/contacts||||,,,,https://direct.yandex.ru/images/direct/5098798/oBb1RozLrpyjF4RHKlWrOg,,,GMP-стандарт производства||Картон и микрогофра||Тиснение и конгрев||Тиражи от 5000 штук||Соответствие ГОСТ и GMP||Инструкция-вкладыш|| ГОСТ Р ИСО 15378-2017,,16,,,,,,,,,,
710718813.xlsx,Тексты,21,Единая перфоманс-кампания,-,Комбинаторное,-,5760359467,Фармацевтика (Ключи),1,57447361560,печать инструкций медицинских спб,17749737466,#Коробки для лекарств#,#Картонные пачки СПб#,"Печать картонных коробок для лекарственных средств. Целлюлозный картон, микрогофра.",Фармацевтическая упаковка GMP,Коробки для лекарств и БАД,Инструкции-вкладыши для препаратов,Картонные коробки под заказ,Упаковка для фармацевтики в СПб,Печать инструкций медицинских,Коробки для таблеток и БАД,"Упаковка по GMP. Коробки, пачки, инструкции. От 5000 шт. Доставка по РФ. Звоните!","Полный цикл: дизайн, печать, сборка. Коробки для лекарств и БАД, вкладыши. Сертификаты.",Типография в СПб. Печать инструкций и упаковки для фармацевтики. Любые тиражи.,,,,,,,,,,,https://direct.yandex.ru/images/direct/5257964/oL7geGe8U6jK-8nu73-xzw,https://direct.yandex.ru/images/direct/5424235/QYIcToXYp9a0jIKjmUg2Aw,https://direct.yandex.ru/images/direct/4473846/CI5dc_9bJ_hGO28f9fVjJA,https://direct.yandex.ru/images/direct/5356422/JQC8zIrTdN64ZsiRqnRNQQ,https://direct.yandex.ru/images/direct/5252717/Mf1X4bwI0LL7t3sZ7KfUJQ,,,,,,,,https://printyard.spb.ru/industries/pharma,,205929759852,"Россия, -Сибирь, -Дальний Восток",-,,,Идут показы,Работает везде,Портфолио фарма||Коробки для лекарств||GMP-упаковка||Инструкции и вкладыши||О компании||Контакты||||,Примеры упаковки для фармацевтики||Картонные коробки для препаратов||Производство по стандарту GMP||Печать медицинских инструкций||Типография PrintYard в СПб||Свяжитесь с нами||||,https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/about||https://printyard.spb.ru/contacts||||,,,,https://direct.yandex.ru/images/direct/5098798/oBb1RozLrpyjF4RHKlWrOg,,,GMP-стандарт производства||Картон и микрогофра||Тиснение и конгрев||Тиражи от 5000 штук||Соответствие ГОСТ и GMP||Инструкция-вкладыш|| ГОСТ Р ИСО 15378-2017,,16,,,,,,,,,,
710718813.xlsx,Тексты,22,Единая перфоманс-кампания,-,Комбинаторное,-,5760359467,Фармацевтика (Ключи),1,57447361561,картонные коробки для лекарств спб,17749737466,#Коробки для лекарств#,#Картонные пачки СПб#,"Печать картонных коробок для лекарственных средств. Целлюлозный картон, микрогофра.",Фармацевтическая упаковка GMP,Коробки для лекарств и БАД,Инструкции-вкладыши для препаратов,Картонные коробки под заказ,Упаковка для фармацевтики в СПб,Печать инструкций медицинских,Коробки для таблеток и БАД,"Упаковка по GMP. Коробки, пачки, инструкции. От 5000 шт. Доставка по РФ. Звоните!","Полный цикл: дизайн, печать, сборка. Коробки для лекарств и БАД, вкладыши. Сертификаты.",Типография в СПб. Печать инструкций и упаковки для фармацевтики. Любые тиражи.,,,,,,,,,,,https://direct.yandex.ru/images/direct/5257964/oL7geGe8U6jK-8nu73-xzw,https://direct.yandex.ru/images/direct/5424235/QYIcToXYp9a0jIKjmUg2Aw,https://direct.yandex.ru/images/direct/4473846/CI5dc_9bJ_hGO28f9fVjJA,https://direct.yandex.ru/images/direct/5356422/JQC8zIrTdN64ZsiRqnRNQQ,https://direct.yandex.ru/images/direct/5252717/Mf1X4bwI0LL7t3sZ7KfUJQ,,,,,,,,https://printyard.spb.ru/industries/pharma,,205929759852,"Россия, -Сибирь, -Дальний Восток",-,,,Идут показы,Работает везде,Портфолио фарма||Коробки для лекарств||GMP-упаковка||Инструкции и вкладыши||О компании||Контакты||||,Примеры упаковки для фармацевтики||Картонные коробки для препаратов||Производство по стандарту GMP||Печать медицинских инструкций||Типография PrintYard в СПб||Свяжитесь с нами||||,https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/about||https://printyard.spb.ru/contacts||||,,,,https://direct.yandex.ru/images/direct/5098798/oBb1RozLrpyjF4RHKlWrOg,,,GMP-стандарт производства||Картон и микрогофра||Тиснение и конгрев||Тиражи от 5000 штук||Соответствие ГОСТ и GMP||Инструкция-вкладыш|| ГОСТ Р ИСО 15378-2017,,16,,,,,,,,,,
710718813.xlsx,Тексты,23,Единая перфоманс-кампания,-,Комбинаторное,-,5760359467,Фармацевтика (Ключи),1,57447361562,вкладыши для лекарств спб,17749737466,#Коробки для лекарств#,#Картонные пачки СПб#,"Печать картонных коробок для лекарственных средств. Целлюлозный картон, микрогофра.",Фармацевтическая упаковка GMP,Коробки для лекарств и БАД,Инструкции-вкладыши для препаратов,Картонные коробки под заказ,Упаковка для фармацевтики в СПб,Печать инструкций медицинских,Коробки для таблеток и БАД,"Упаковка по GMP. Коробки, пачки, инструкции. От 5000 шт. Доставка по РФ. Звоните!","Полный цикл: дизайн, печать, сборка. Коробки для лекарств и БАД, вкладыши. Сертификаты.",Типография в СПб. Печать инструкций и упаковки для фармацевтики. Любые тиражи.,,,,,,,,,,,https://direct.yandex.ru/images/direct/5257964/oL7geGe8U6jK-8nu73-xzw,https://direct.yandex.ru/images/direct/5424235/QYIcToXYp9a0jIKjmUg2Aw,https://direct.yandex.ru/images/direct/4473846/CI5dc_9bJ_hGO28f9fVjJA,https://direct.yandex.ru/images/direct/5356422/JQC8zIrTdN64ZsiRqnRNQQ,https://direct.yandex.ru/images/direct/5252717/Mf1X4bwI0LL7t3sZ7KfUJQ,,,,,,,,https://printyard.spb.ru/industries/pharma,,205929759852,"Россия, -Сибирь, -Дальний Восток",-,,,Идут показы,Работает везде,Портфолио фарма||Коробки для лекарств||GMP-упаковка||Инструкции и вкладыши||О компании||Контакты||||,Примеры упаковки для фармацевтики||Картонные коробки для препаратов||Производство по стандарту GMP||Печать медицинских инструкций||Типография PrintYard в СПб||Свяжитесь с нами||||,https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/about||https://printyard.spb.ru/contacts||||,,,,https://direct.yandex.ru/images/direct/5098798/oBb1RozLrpyjF4RHKlWrOg,,,GMP-стандарт производства||Картон и микрогофра||Тиснение и конгрев||Тиражи от 5000 штук||Соответствие ГОСТ и GMP||Инструкция-вкладыш|| ГОСТ Р ИСО 15378-2017,,16,,,,,,,,,,
710718813.xlsx,Тексты,24,Единая перфоманс-кампания,-,Комбинаторное,-,5760359467,Фармацевтика (Ключи),1,57447361563,фармацевтическая упаковка заказ,17749737466,#Коробки для лекарств#,#Картонные пачки СПб#,"Печать картонных коробок для лекарственных средств. Целлюлозный картон, микрогофра.",Фармацевтическая упаковка GMP,Коробки для лекарств и БАД,Инструкции-вкладыши для препаратов,Картонные коробки под заказ,Упаковка для фармацевтики в СПб,Печать инструкций медицинских,Коробки для таблеток и БАД,"Упаковка по GMP. Коробки, пачки, инструкции. От 5000 шт. Доставка по РФ. Звоните!","Полный цикл: дизайн, печать, сборка. Коробки для лекарств и БАД, вкладыши. Сертификаты.",Типография в СПб. Печать инструкций и упаковки для фармацевтики. Любые тиражи.,,,,,,,,,,,https://direct.yandex.ru/images/direct/5257964/oL7geGe8U6jK-8nu73-xzw,https://direct.yandex.ru/images/direct/5424235/QYIcToXYp9a0jIKjmUg2Aw,https://direct.yandex.ru/images/direct/4473846/CI5dc_9bJ_hGO28f9fVjJA,https://direct.yandex.ru/images/direct/5356422/JQC8zIrTdN64ZsiRqnRNQQ,https://direct.yandex.ru/images/direct/5252717/Mf1X4bwI0LL7t3sZ7KfUJQ,,,,,,,,https://printyard.spb.ru/industries/pharma,,205929759852,"Россия, -Сибирь, -Дальний Восток",-,,,Идут показы,Работает везде,Портфолио фарма||Коробки для лекарств||GMP-упаковка||Инструкции и вкладыши||О компании||Контакты||||,Примеры упаковки для фармацевтики||Картонные коробки для препаратов||Производство по стандарту GMP||Печать медицинских инструкций||Типография PrintYard в СПб||Свяжитесь с нами||||,https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/about||https://printyard.spb.ru/contacts||||,,,,https://direct.yandex.ru/images/direct/5098798/oBb1RozLrpyjF4RHKlWrOg,,,GMP-стандарт производства||Картон и микрогофра||Тиснение и конгрев||Тиражи от 5000 штук||Соответствие ГОСТ и GMP||Инструкция-вкладыш|| ГОСТ Р ИСО 15378-2017,,16,,,,,,,,,,
710718813.xlsx,Тексты,25,Единая перфоманс-кампания,-,Комбинаторное,-,5760359467,Фармацевтика (Ключи),1,57447361565,упаковка для БАД спб,17749737466,#Коробки для лекарств#,#Картонные пачки СПб#,"Печать картонных коробок для лекарственных средств. Целлюлозный картон, микрогофра.",Фармацевтическая упаковка GMP,Коробки для лекарств и БАД,Инструкции-вкладыши для препаратов,Картонные коробки под заказ,Упаковка для фармацевтики в СПб,Печать инструкций медицинских,Коробки для таблеток и БАД,"Упаковка по GMP. Коробки, пачки, инструкции. От 5000 шт. Доставка по РФ. Звоните!","Полный цикл: дизайн, печать, сборка. Коробки для лекарств и БАД, вкладыши. Сертификаты.",Типография в СПб. Печать инструкций и упаковки для фармацевтики. Любые тиражи.,,,,,,,,,,,https://direct.yandex.ru/images/direct/5257964/oL7geGe8U6jK-8nu73-xzw,https://direct.yandex.ru/images/direct/5424235/QYIcToXYp9a0jIKjmUg2Aw,https://direct.yandex.ru/images/direct/4473846/CI5dc_9bJ_hGO28f9fVjJA,https://direct.yandex.ru/images/direct/5356422/JQC8zIrTdN64ZsiRqnRNQQ,https://direct.yandex.ru/images/direct/5252717/Mf1X4bwI0LL7t3sZ7KfUJQ,,,,,,,,https://printyard.spb.ru/industries/pharma,,205929759852,"Россия, -Сибирь, -Дальний Восток",-,,,Идут показы,Работает везде,Портфолио фарма||Коробки для лекарств||GMP-упаковка||Инструкции и вкладыши||О компании||Контакты||||,Примеры упаковки для фармацевтики||Картонные коробки для препаратов||Производство по стандарту GMP||Печать медицинских инструкций||Типография PrintYard в СПб||Свяжитесь с нами||||,https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/portfolio/pharma||https://printyard.spb.ru/about||https://printyard.spb.ru/contacts||||,,,,https://direct.yandex.ru/images/direct/5098798/oBb1RozLrpyjF4RHKlWrOg,,,GMP-стандарт производства||Картон и микрогофра||Тиснение и конгрев||Тиражи от 5000 штук||Соответствие ГОСТ и GMP||Инструкция-вкладыш|| ГОСТ Р ИСО 15378-2017,,16,,,,,,,,,,
