Файл,Тип кампании,Уровень,ID группы,Название группы,Номер группы,Минус-фраза,Слов,Длина
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!в красногвардейском районе,3,28
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!для самогона !и настоек,4,25
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!для хранения,2,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!или,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!как,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!как сделать,2,13
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!как упаковать сумку !в подарок,5,32
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!когда,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!кому,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!на cd дисках,3,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!одно,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!от 1,2,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!от 1 шт,3,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!с рук,2,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!своими,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!своими руками,2,15
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!собой,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!такое,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!чего,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!чем,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!что,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!что !такое,2,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-!это,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,"-""инструкции по охране труда для больницы""",6,42
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,"-""сколько стоит упаковать""",3,26
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-1 шт,2,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-3d,1,3
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-3д,1,3
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-APK,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-ai,1,3
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-cdr,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-ozon,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-pdf,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-png,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-podrochu,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-psd,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-wb,1,3
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-wildberries,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-youtube,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-авито,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-адрес,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-аксессуары,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-акт,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-банки под таблетки,3,19
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-бесплатно,1,10
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-бланк,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-бу,1,3
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-букв,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-бывает,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-вайлдберриз,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-вакансии,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-варианты,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-видео,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-виды,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-википедия,1,10
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-витамин,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-возможности,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-войти,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-вопрос,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-вход,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-выбор,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-выглядит,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-выкройка,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-где,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-где упаковать,2,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-готовое решение,2,16
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-готовый,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-действует,1,10
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-дерево,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-деревянная,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-дизайн коробки,2,15
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-дизайн упаковки,2,16
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-диплом,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-документация,1,13
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-дома,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-духи оптом питер,3,17
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-закон,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-зарплата,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-зачем,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-заявление,1,10
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-значение,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-значит,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-инструкции !по охране труда !для больницы,6,42
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-исходник,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-ищем,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-кабинет,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-какое,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-картинка,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-карточка товара,2,16
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-комментарии,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-куда,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-купить б !у,3,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-купить подложку под торт !от производителя,6,43
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-куплю готовое,2,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-курсовая,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-ли,1,3
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-личный,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-лучше,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-лучше !чем,2,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-макет бесплатно,2,16
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-макеты,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-маленький,1,10
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-маленький тираж,2,16
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-малый,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-малый тираж,2,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-марка !и конструкция картонной упаковки,5,40
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-маркетплейс,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-мастер класс,2,13
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-мдф,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-мем,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-мод,1,4
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-мультик,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-мультфильм,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-мягкая упаковка,2,16
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-название,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-называется,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-наклейка,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-недостатки,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-номенклатура,1,13
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-норматив,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-нормы,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-обзор,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-образец,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-обувь,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-объемная,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-означает,1,9
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-озон,1,5
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-определение,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-органайзер,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-особенности,1,12
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-отзывы,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-откуда,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-отличается,1,11
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-отличия,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-пакет,1,6
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-пароль,1,7
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-паспорт,1,8
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-первая помощь,2,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-печать !на cd дисках принтер услуга,6,36
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-печать !на кружке,3,18
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-печать !на кружке хамелеон,4,27
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-печать !на пробке бутылке !при укупорке,6,40
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-печать бланок,2,14
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-печать газет,2,13
710718813.xlsx,Единая перфоманс-кампания,Кампания,,,,-печать журнала,2,15
