Файл,Тип кампании,ID группы,Название группы,Номер группы,ID фразы,Фраза,Тип фразы,Операторы,Статус фразы,Ставка,Регион,Длина
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,41762401,audience:Были на сайте типографии больше 50 секунд,Аудитория,,,,"Россия, -Сибирь, -Дальний Восток",50
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,41115562,audience:Был на сайте Типографии,Аудитория,,,,"Россия, -Сибирь, -Дальний Восток",32
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,42126667,audience: Копия Были на сайте типографии больше 30 сек и смотрели партфолио Фармацевтика,Аудитория,,,,"Россия, -Сибирь, -Дальний Восток",88
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361558,упаковка для фармацевтики спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",29
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361559,gmp упаковка спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",16
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361560,печать инструкций медицинских спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",33
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361561,картонные коробки для лекарств спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",34
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361562,вкладыши для лекарств спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",25
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361563,фармацевтическая упаковка заказ,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",31
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361565,упаковка для БАД спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",20
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57447361566,коробки для фармпрепаратов спб,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",30
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,205760359467,---autotargeting,Автотаргетинг,,Приостановлена,,"Россия, -Сибирь, -Дальний Восток",16
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401077,коробки для лекарств,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",20
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401078,коробки для преператов,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",22
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401079,"""картонная упаковка для препаратов""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",35
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401080,картонная упаковка для фарм препаратов,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",38
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401081,"""упаковка для таблеток""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",23
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401082,упаковка из картона для таблеток,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",32
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401083,"""картонная пачка для таблеток""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",30
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401084,картонная упаковка для таблеток,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",31
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401085,производство картонных пачек для таблеток,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",41
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401086,печать инструкций вкладыш,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",25
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57909401087,изготовление инструкций вкладыш,Ключевая,,Работает везде,,"Россия, -Сибирь, -Дальний Восток",31
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033819,"""фармацевтическая упаковка""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",27
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033820,"""упаковка для лекарств""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",23
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033821,"""упаковка для препаратов""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",25
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033822,"""коробки для лекарств""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",22
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033823,"""коробки для препаратов""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",24
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033824,"""картонные коробки для лекарств""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",32
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033825,"""упаковка для БАД""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",18
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033826,"""коробки для БАД""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",17
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033827,"""вкладыши для лекарств""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",23
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033828,"""печать инструкций медицинских""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",31
710718813.xlsx,Единая перфоманс-кампания,5760359467,Фармацевтика (Ключи),1,57919033829,"""инструкции для препаратов""",Ключевая,"""...""",Работает везде,,"Россия, -Сибирь, -Дальний Восток",27
