Кампания;Площадка;Сеть;Показы;Клики;Расход ₽;Целевых заявок;Действие
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );dzen.ru;Яндекс и РСЯ;4262;76;228.24;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );market.yandex.ru;Яндекс и РСЯ;198;9;68.95;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );mail.yandex.ru;Яндекс и РСЯ;498;8;63.38;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );ok.ru;Яндекс и РСЯ;820;16;58.03;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );m.pogoda.yandex.ru;Яндекс и РСЯ;239;13;47.47;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );vk.com;Яндекс и РСЯ;186;7;42.71;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.pingsecure.client.app;Яндекс и РСЯ;211;13;41.55;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );mail.ru;Яндекс и РСЯ;584;8;40.48;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;igrotok.com;Яндекс и РСЯ;1680;40;35.15;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );ru.yandex.mobile;Яндекс и РСЯ;157;9;32.01;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );yandex.ru;Яндекс и РСЯ;77;3;29.1;0;исключить или понизить ставку
Типография Print Yard  РСЯ;win.mail.ru;Яндекс и РСЯ;299;3;27.36;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;com.vk.vkclient;Яндекс и РСЯ;188;11;25.88;0;исключить или понизить ставку
Типография Print Yard  РСЯ;dzen.ru;Яндекс и РСЯ;359;6;25.16;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;litmir.club;Яндекс и РСЯ;513;17;24.58;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );ru.foodfox.client;Яндекс и РСЯ;1;1;23.56;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.mi.globalbrowser;Яндекс и РСЯ;37;7;23.53;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );m.edadeal.ru;Яндекс и РСЯ;26;1;22.29;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );rr4farmtrof.com;Яндекс и РСЯ;28;1;21.8;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;com.redcell.goldandgoblins;Яндекс и РСЯ;31;2;20.98;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );com.changdu.ereader;Яндекс и РСЯ;10;2;18.88;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;translate.yandex.ru;Яндекс и РСЯ;402;7;18.48;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.openmygame.games.android.jigsaw.solitaire.puzzle;Яндекс и РСЯ;63;9;17.81;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );com.oakever.arrows;Яндекс и РСЯ;111;3;16.51;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;ru.yandex.mobile;Яндекс и РСЯ;512;16;16.31;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );ru.zen.android;Яндекс и РСЯ;370;10;15.38;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );anony-ig.com;Яндекс и РСЯ;5;1;14.74;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;pluggedin.ru;Яндекс и РСЯ;12;3;13.97;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );com.vigafun.funfinity.foodhunt;Яндекс и РСЯ;40;4;12.87;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );com.puzzle.cargame.busjam.trafficjam;Яндекс и РСЯ;12;1;12.61;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );ai.character.app;Яндекс и РСЯ;75;2;12.37;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;top10deals.ru;Яндекс и РСЯ;7;1;11.89;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );com.furrjam.traffic.jamgame;Яндекс и РСЯ;6;2;11.67;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );auto.ru;Яндекс и РСЯ;6;1;11.55;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );com.changdu.rureader;Яндекс и РСЯ;24;2;11.35;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;ru.ria.ria;Яндекс и РСЯ;333;14;11.25;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );com.mnogoteams.triviablocks;Яндекс и РСЯ;2;1;11.01;0;исключить или понизить ставку
Типография Print Yard  РСЯ;io.deveem.vpn;Яндекс и РСЯ;29;3;10.89;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );www.appleinsider.ru;Яндекс и РСЯ;28;1;10.85;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );ru.yandex.ytaxi;Яндекс и РСЯ;48;2;10.76;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;inosmi.ru;Яндекс и РСЯ;104;2;10.1;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;top10deals.ru;Яндекс и РСЯ;127;10;9.57;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;lordserial.run;Яндекс и РСЯ;3;1;9.54;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );oirr.ru;Яндекс и РСЯ;2;1;9.49;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );com.flyingwhalegames.carout;Яндекс и РСЯ;11;1;9.06;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;sportsdzen.ru;Яндекс и РСЯ;324;7;9.03;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;www.svpressa.ru;Яндекс и РСЯ;318;9;9;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );gdz.top;Яндекс и РСЯ;51;2;8.99;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;market.yandex.ru;Яндекс и РСЯ;214;1;8.98;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;vtomske.ru;Яндекс и РСЯ;409;5;8.77;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.clipglider.gpmain;Яндекс и РСЯ;7;3;8.69;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );igrotok.com;Яндекс и РСЯ;125;3;8.58;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );com.screw3d.match.nuts.bolts.pin.jam.away.puzzle;Яндекс и РСЯ;14;1;8.4;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );avito.ru;Яндекс и РСЯ;74;2;8.18;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );tap.unblock.away;Яндекс и РСЯ;3;1;8.11;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );com.loop.clear.cube.free.card.puzzle.sort.match;Яндекс и РСЯ;17;1;8.01;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );com.pixonic.wwr;Яндекс и РСЯ;14;2;7.9;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );progorod43.ru;Яндекс и РСЯ;13;2;7.89;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;www.drive2.ru;Яндекс и РСЯ;551;7;7.87;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;www.ixbt.com;Яндекс и РСЯ;110;1;7.85;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );ru.gmsoft.magazines.skanword_zaika_moya;Яндекс и РСЯ;1;1;7.84;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;ru.yandex.mobile.zen;Яндекс и РСЯ;146;9;7.74;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;ngs.ru;Яндекс и РСЯ;332;9;7.4;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );com.mnogogames.triviascapes;Яндекс и РСЯ;3;1;7.22;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );kidultlovin.word.zen;Яндекс и РСЯ;27;2;7.21;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;rus.hitmotop.com;Яндекс и РСЯ;449;15;7.13;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;kniga-online.com;Яндекс и РСЯ;651;7;7.03;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;okgamer.ru;Яндекс и РСЯ;140;6;6.86;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;notdrink.ru;Яндекс и РСЯ;83;3;6.72;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );com.orangeapps.piratetreasures;Яндекс и РСЯ;7;1;6.67;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;horo.mail.ru;Яндекс и РСЯ;84;3;6.63;0;исключить или понизить ставку
OUTLETIKA РСЯ ( Камбинаторные  , без фидов );com.changdu.novel.reader4;Яндекс и РСЯ;14;1;6.63;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;www.kp.ru;Яндекс и РСЯ;113;4;6.61;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;calend.ru;Яндекс и РСЯ;3;2;6.46;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;f1news.ru;Яндекс и РСЯ;278;7;6.18;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;ontvtime.ru;Яндекс и РСЯ;48;5;6.01;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;woman.ru;Яндекс и РСЯ;240;6;5.73;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;nekto.me;Яндекс и РСЯ;186;5;5.13;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;www.rg.ru;Яндекс и РСЯ;124;4;5.11;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;mint.dating;Яндекс и РСЯ;36;4;5.06;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;kidultlovin.word.zen;Яндекс и РСЯ;25;2;4.93;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;presaver.com;Яндекс и РСЯ;4;2;4.92;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;gdebenz.ru;Яндекс и РСЯ;27;4;4.82;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;lady.mail.ru;Яндекс и РСЯ;55;1;4.75;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;fanfics.me;Яндекс и РСЯ;77;2;4.73;0;исключить или понизить ставку
Типография Print Yard  РСЯ;jp.co.goodroid.hyper.hospital;Яндекс и РСЯ;1;1;4.61;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;tsargrad.tv;Яндекс и РСЯ;140;4;4.59;0;исключить или понизить ставку
ЕПК Outletika РСЯ+ Пойск;overclockers.ru;Яндекс и РСЯ;143;6;4.53;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.yizhi.cozymashacaremi;Яндекс и РСЯ;1;1;4.42;0;исключить или понизить ставку
Типография Print Yard  РСЯ;vpn.vpn.top.vpn;Яндекс и РСЯ;3;1;4.21;0;исключить или понизить ставку
Типография Print Yard  РСЯ;io.supercent.linkedcubic;Яндекс и РСЯ;5;1;4.12;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.cybear.vpn.proxy.connect;Яндекс и РСЯ;3;1;3.97;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.toplinkc.foxexcellent;Яндекс и РСЯ;6;1;3.97;0;исключить или понизить ставку
Типография Print Yard  РСЯ;igrotok.com;Яндекс и РСЯ;7;1;3.89;0;исключить или понизить ставку
Типография Print Yard  РСЯ;ya.ru;Яндекс и РСЯ;74;1;3.73;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.baliuapps.superapp;Яндекс и РСЯ;17;1;3.18;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.piplnetwork.piplvpn;Яндекс и РСЯ;18;1;2.83;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.screw3d.match.nuts.bolts.pin.jam.away.puzzle;Яндекс и РСЯ;2;1;2.73;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.fkey.master.zip.vpn;Яндекс и РСЯ;5;1;2.68;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.teng.ify.master.vpn;Яндекс и РСЯ;2;1;2.67;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.wood.block.sudoku.puzzle.bm;Яндекс и РСЯ;1;1;2.35;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.fusvob.liapp;Яндекс и РСЯ;5;1;2.03;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.oakever.arrows;Inner-active SSP;4;1;1.84;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.tiptop.free.super.fast.link;Яндекс и РСЯ;6;1;1.75;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.puzzlegames.puzzlebrickslegend;Inner-active SSP;2;1;1.73;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.hookah.tear.down.pixel.playground;Яндекс и РСЯ;2;1;1.57;0;исключить или понизить ставку
Типография Print Yard  РСЯ;com.MadOut.BIG;Яндекс и РСЯ;2;1;1.52;0;исключить или понизить ставку
Типография Print Yard  РСЯ;ai.character.app;Яндекс и РСЯ;3;1;0.91;0;исключить или понизить ставку
